100% whey gold standard,120.00,3.00,24.00,0.00,0,0
4 злака козинак с арахисом и изюмом,412.00,58.20,10.30,15.30,0,0
4 злака ясно солнышко,310.00,60.00,11.00,2.60,0,0
4 сезона овощи для жарки с шампиньонами,39.00,2.10,4.90,1.20,0,0
7up,43.00,10.70,0.00,0.00,0,0
Actimel,73.00,11.50,2.65,1.50,0,0
Actimel земляника-шиповник,73.00,11.50,2.70,1.50,0,0
Actimel личи,73.00,11.50,2.65,1.50,0,0
Activia напиток со сливой,75.00,12.50,2.90,1.50,0,0
Adrenaline nature энергетик,50.00,12.40,0.00,0.00,0,0
Adrenalin rush,52.00,13.00,0.50,0.00,0,0
Alpen gold с фундуком,532.00,57.90,0.40,30.30,0,0
Alpen gold фундук и изюм,493.00,59.60,5.70,25.30,0,0
Alpen gold фундук и мюсли,510.00,61.10,6.00,26.50,0,0
Alpen gold черно-белый,540.00,58.90,4.80,31.20,0,0
"Amore ""шампанское-клубника""",70.00,9.00,0.00,0.00,0,0
Amour крем-брюле,482.00,51.30,6.30,29.00,0,0
Analisa горошек консервированный,64.00,9.50,5.50,0.40,0,0
Baunty,471.00,57.90,3.90,24.60,0,0
Biersteaks,215.00,2.00,18.00,15.00,0,0
Big bon,406.00,49.90,8.20,19.30,0,0
Big bon (курица),406.00,49.90,8.20,19.30,0,0
Biobalance питьевой,105.00,16.60,3.40,2.80,0,0
Biomatrix лёгкий 1% гранат благовещенск,56.00,8.90,2.80,1.00,0,0
Biomax кефирный 1%,43.40,5.60,3.00,1.00,0,0
Bio max кефирный 1 % лёгкий,43.40,5.60,3.00,1.00,0,0
"Bio max творожный десерт ""клубника мюсли""",113.00,16.40,5.50,2.80,0,0
Bio max творожный эффективный,66.00,3.50,6.00,3.10,0,0
Bio баланс биопродукт йогуртный /нежирный,26.80,3.70,3.00,0.05,0,0
Bio баланс (злаки),76.00,12.60,3.10,1.50,0,0
Bio баланс кефирный 0%,29.00,4.00,3.00,0.05,0,0
Bio Баланс Кефирный 1%,40.00,4.00,3.00,1.00,0,0
"Bio,баланс кефирный обогощенный (0%)",29.00,4.00,3.00,0.10,0,0
Bio баланс творожно-йогуртный клубника-мюсли с орешками,120.00,13.00,8.00,4.00,0,0
Bio баланс творожно-йогуртный с орешками,120.00,13.00,8.00,4.00,0,0
Bio баланс (творожный) ананас,111.00,14.40,4.80,3.80,0,0
Bio баланс (черника),78.00,13.10,3.10,1.50,0,0
Biskonti,434.00,50.30,5.50,23.90,0,0
Bon aqua viva,19.00,4.60,0.00,0.00,0,0
Bounty,484.94,58.20,3.53,25.93,0,0
Burn,49.00,11.70,0.00,0.00,0,0
Calve соус для пельменей,262.00,7.80,1.40,25.00,0,0
Campina fruttis,89.00,17.00,2.60,1.20,0,0
Cappuccino chocolate flavor,408.00,71.00,9.90,8.30,0,0
Cheetos кукурузные палочки со вкусом сыра,513.00,72.00,7.00,22.00,0,0
Choco boy,500.00,57.00,7.00,27.00,0,0
Chocodessert типа тирамису (италия),408.00,51.60,4.90,20.30,0,0
Chocolife,353.00,66.60,3.70,8.00,0,0
Choco pie,438.00,64.95,4.00,18.10,0,0
Choco Pie,430.00,70.90,3.60,16.10,0,0
Chupa Chups mini relax citrus,396.00,97.80,0.00,0.00,0,0
Chupa chups релакс,396.00,97.80,0.00,0.00,0,0
